MON: Contract Bridge,TUE: Historical Sim Racing,WED: Deep Learning Chess,THU: Historical Flight/War Sim,FRI: Deep Learning Weiqi,SAT: Flight/War Sim (Advanced)
Contract Bridge,Historical Grand Prix Sim Racing,Deep Learning Chess,Battle of Britain,AI tutor,US training
Bridge Analyzer,Reshuffle Opposing Drivers,Chess Analysis,Basic Flight Training,Board with training,Soviet training
How To Calculate Score,View Replay,Chess Statistics,RAF training,Heat Map Board,flight and war sim
Enter New Score,Mechanic tuning,How To Calculate Score,Axis training,Analysis,checklist training
,How To Calculate Score,Enter New Score,Korean War,How To Calculate Score,Replay
,Enter New Score,,UN training,Enter New Score,How To Calculate Score
,,,Red training,,Enter New Score
,,,How To Calculate Score,,
,,,Enter New Score,,
